Ry	㸦
Ry	廴
Sc	辰
Sd	歹
Sd	歺
Sd	鬥
Sd	{睿字头}
Sg	瓜
Sh	虍
Sh	虎
Sh	{虎字框}
Sj	斤
Sj	{丘无横}
Sm	門
Sm	马
Sm	𢎘
Ss	尚
Ss	龸
Ss	{党无儿}
St	𠂉
Sv	鱼
Sv	𩵋
Sx	辛
Sx	{辡左}
Sy	羊
Sy	⺶
Sy	⺷
Sy	⺸
Sy	芈
Sy	{南心}
Tc	歯
Tc	齒
Tf	缶
Tf	𦈢
Ti	㠯
Ti	{𨸥左无撇}
Tl	耒
Tl	⽾
Tm	门
Tp	丿
Ts	束
Tw	瓦
Ty	又
Ty	ス
Ty	ㄡ
Uc	厂
Uc	⺁
Ug	⾻
Ug	冎
Ug	骨
Ug	{𡻋右}
Ug	鬲
Ul	卵
Um	黾
Um	黽
Ur	日
Ur	⺜
Ur	𫩏
Us	山
Uu	五
Ux	卌
Ux	西
Ux	襾
Ux	覀
Ux	{帶字头}
Uy	由
Uy	曰
Vb	贝
Vc	虫
Ve	耳
Vi	自
Vj	井
Vk	コ
Vk	匚
Vk	{候右角}
Vk	{叚右角}
Vk	𠥓
Vl	龙
Vl	竜
Vm	民
Vq	僉
Vs	巳
Vu	入
Vw	未
Vx	夕
Vy	尤
Vy	尢
Wb	匕
Wb	{眞字头}
Wb	{比左}
Wb	{华右角}
Wb	{以左}
Wg	光
Wj	⺋
Wj	⺕
Wj	ㄗ
Wj	ㅌ
Wj	㔾
Wj	卩
Wj	卪
Wj	彐
Wj	彑
Wj	金
Wj	釒
Wj	{金无人}
Wj	{录上}
Wj	{疟字底}
Wj	{尹三}
Wj	{𠂘字底}
Wj	{㒫字头}
Wj	{互无二}
Wn	女
Ws	舌
Ws	{舍下}
Wv	羽
Ww	{微框、微框无一}
Wy	音
Wy	頁
Wy	{㥑字头}
Xc	车
Xc	{车旁}
Xe	阝
Xf	弗
Xf	𠂔
Xf	𢎨
Xh	亥
Xi	之
Xi	弋
Xi	{弋二}
Xl	立
Xl	{立无横}
Xm	面
Xm	靣
Xn	牛
Xn	牜
Xn	𠂒
Xs	身
Xv	雨
Xv	⻗
Yc	册
Yc	冊
Yc	{狦右}
Yc	𠕁
Yg	谷
Yg	{谷字头}
Yj	臼
Yj	⺽
Yj	{臼裂}
Ym	木
Ym	朩
Yw	韦
Zc	⺿
Zc	丌
Zc	丱
Zc	卄
Zc	卝
Zc	廾
Zc	艸
Zc	艹
Zc	{𥫲下}
Zg	干
Zg	{幵左}
Zi	亼
Zi	亽
Zl	两
Zs	氏
Zy	云
Zy	{弃字头}
Zy	{云变}
