⺀⺀	丶 丶
⿂⿂	魚
⿃⿃	鳥
⿄⿄	⺊ 龱
⿅⿅	鹿
⿆⿆	⿆
⿇⿇	麻
⿈⿈	黃
⿉⿉	禾 人 氺
⿊⿊	黑
⿋⿋	业 㡀
⿌⿌	黽
⿍⿍	目 {⿍左角} {⿍右角}
⿎⿎	壴 支
⿏⿏	鼠
⿐⿐	自 田 丌
⿑⿑	齊
⿒⿒	齒
⿓⿓	立 ⺝ {龍右}
⿔⿔	⿔
⿕⿕	侖 口 {双口：吕吅}
〇〇	〇
㇀㇀	一
㇁㇁	㇢
㇂㇂	レ
㇃㇃	レ
㇄㇄	乚
㇅㇅	㇅
㇆㇆	𠃌
㇇㇇	フ
㇈㇈	㇈
㇉㇉	ㄅ
㇊㇊	㇅
㇋㇋	ㄋ
㇌㇌	ㄋ
㇍㇍	㇅
㇎㇎	㇎
㇏㇏	丶
㇐㇐	一
㇑㇑	丨
㇒㇒	丿
㇓㇓	丿
㇔㇔	丶
㇕㇕	ヿ
㇖㇖	乛
㇗㇗	㇗
㇘㇘	丨 一
㇙㇙	レ
㇚㇚	丨
㇛㇛	ㄑ
㇜㇜	ㄥ
㇝㇝	丶
㇞㇞	㇞
㇟㇟	乚
㇠㇠	乙
㇡㇡	ㄋ
㇢㇢	㇢
㇣㇣	〇
㇤㇤	⺄
㇥㇥	ㄅ
㍻㍻	干 丷 戊 乛
㍼㍼	日 刀 禾 口
㍽㍽	大 一 止
㍾㍾	日 月 氵 厶
㍿㍿	木 丿 未 人 云 弋 工 礻 土
㐀㐀	卝 一
㐁㐁	一 囗 人
㐂㐂	七 七 七
㐃㐃	{㐃上} 丨
㐄㐄	㐄
㐅㐅	乂
㐆㐆	戶 一 𠃌
㐇㐇	九 乙
㐈㐈	入 乙
㐉㐉	丁 乙
㐊㐊	士 乙
㐋㐋	土 乙
㐌㐌	𠂉 也
㐍㐍	爫 乙
㐎㐎	文 乙
㐏㐏	五 乙
㐐㐐	女 又 乙
㐑㐑	夂 ゛ 乙
㐒㐒	刀 口 乙
㐓㐓	可 乙
㐔㐔	{高头} 乙
㐕㐕	由 乙
㐖㐖	士 口 乚
㐗㐗	老 乙
㐘㐘	米 乙
㐙㐙	豆 乙
㐚㐚	五 口 乙
㐛㐛	亻 𠂇 口 乙
㐜㐜	一 氺 丶 九
㐝㐝	扌 句 乙
㐞㐞	{其字头} {其字底} 乙
㐟㐟	非 乙
㐠㐠	爫 子 乚 乙
㐡㐡	九 而 大
㐢㐢	氵 爫 子 乙
㐣㐣	广 車 乙
㐤㐤	九 十 目 {其字底}
㐥㐥	金 且 力 乙
㐦㐦	{臼裂} 一 ㄅ 丨 {其字底} 手 乙
㐧㐧	丶 𬺰 丿
㐨㐨	予 予
㐩㐩	井 井
㐪㐪	亠 山 人
㐫㐫	亠 㐅 凵
㐬㐬	{弃字头} {荒字底}
㐭㐭	亠 囗 口
㐮㐮	衣 八 井 一
㐯㐯	{高头} 口 禾 日
㐰㐰	亻 口
㐱㐱	人 彡
㐲㐲	亻 大
㐳㐳	亻 一 儿
㐴㐴	亻 夕
㐵㐵	亻 一 𬺰
㐶㐶	亻 巳
㐷㐷	亻 马
㐸㐸	亻 欠
㐹㐹	亻 气
㐺㐺	亻 亻 人
㐻㐻	亻 冂 人
㐼㐼	亻 丿 廾
㐽㐽	亻 几 乂
㐾㐾	亻 二 儿
㐿㐿	亻 手
㑀㑀	亻 大 丶
㑁㑁	亻 屮 凵
㑂㑂	亻 一 冂 人
㑃㑃	亻 幺 力
㑄㑄	亻 母
㑅㑅	亻 𠂉 ⺊ 一
㑆㑆	亻 口 儿
㑇㑇	亻 ⺈ 彐
㑈㑈	亻 {东二} 小
㑉㑉	亻 几 歹
㑊㑊	亻 亠 {亦字底}
㑋㑋	亻 曲
㑌㑌	亻 匚 王
㑍㑍	亻 耒
㑎㑎	亻 巛 山
㑏㑏	亻 宀 寸
㑐㑐	亻 ⺊ 一 小
㑑㑑	亻 自
㑒㑒	亼 口 人
㑓㑓	亻 厶 𠂇 又
㑔㑔	亻 页
㑕㑕	亻 山 夕
㑖㑖	亻 亻 口 丨
㑗㑗	亻 身
㑘㑘	亻 戈 廾
㑙㑙	亻 耳 ㇗
㑚㑚	亻 𠃌 {夫三} 阝
㑛㑛	亻 束
㑜㑜	亻 扌 斤
㑝㑝	亻 王 廾
㑞㑞	亻 火 廾
㑟㑟	亻 {丘无横} {其字底}
㑠㑠	亻 〢 又 土
㑡㑡	亻 {即左} 卩
㑢㑢	亻 土 厶 卩
㑣㑣	亻 木 木
㑤㑤	亻 艹 田
㑥㑥	亻 日 勹 𰀪
㑦㑦	亻 户 犬
㑧㑧	亻 禾 子
㑨㑨	亻 口 矢
㑩㑩	亻 罒 夕
㑪㑪	亻 斉
㑫㑫	亻 亽 ヿ 心
㑬㑬	亻 女 古
㑭㑭	亻 田 丌
㑮㑮	亻 冖 車
㑯㑯	亻 頁
㑰㑰	亻 彑 {豕无横}
㑱㑱	亻 予 丿 木
㑲㑲	亻 十 冂 {南心}
㑳㑳	亻 勹 {㪿三} 勹 {㪿三}
㑴㑴	亻 彐 冖 巾 又
㑵㑵	亻 疒 矢
㑶㑶	亻 气 米
㑷㑷	亻 厶 ⺝ {比左} 匕
㑸㑸	亻 古 可
㑹㑹	亼 由 曰
㑺㑺	亻 隹 乃
㑻㑻	亻 宀 心 丿 山
㑼㑼	亻 田 各
㑽㑽	亻 {党无儿} 土
㑾㑾	亻 {然左角} 言
㑿㑿	亻 巛 田 木
㒀㒀	亻 {立无横} 冂 古
㒁㒁	亻 囗 土 {南心}
㒂㒂	亻 艹 耂 日
㒃㒃	亻 弋 二 貝
㒄㒄	亻 {然左角} 犬 灬
㒅㒅	亻 衣 夕 夕
㒆㒆	亻 亼 口 羽
㒇㒇	亻 𠂉 卌 一 灬
㒈㒈	亻 ヿ 耳 攵
㒉㒉	亻 {党无儿} 木
㒊㒊	亻 刀 丶 止 刀 丶 止
㒋㒋	亻 {其字头} {其字底} 斤
㒌㒌	亻 火 火 冖 几
㒍㒍	亻 厶 厶 厶 糸
㒎㒎	亻 一 大 非
㒏㒏	亻 宀 井 {其字底} ゛
㒐㒐	亻 ⺮ 勹 日
㒑㒑	亻 匚 氵 隹
㒒㒒	亻 业 䒑 未
㒓㒓	亻 土 羊 辶
㒔㒔	亻 罒 勹 虫
㒕㒕	亻 亠 乡 隹
㒖㒖	亻 艹 田 ⽱
㒗㒗	亻 甘 冖 至
㒘㒘	亻 臣 又 立
㒙㒙	亻 糹 白 巾
㒚㒚	亻 爫 工 彐 心
㒛㒛	亻 羽 隹
㒜㒜	亻 {臼裂} 一 ㄅ 丨 {其字底}
㒝㒝	亻 艹 罒 戊 丶
㒞㒞	亻 山 隹 {凹无一}
㒟㒟	亻 衣 馬
㒠㒠	亻 歺 又 非 一
㒡㒡	亻 爫 缶 丿 糸
㒢㒢	亻 龠
㒣㒣	亻 广 亻 隹 心
㒤㒤	亻 耳 耳 耳
㒥㒥	亻 山 丰 丰 豆
㒦㒦	亻 田 田 田 土
㒧㒧	亻 亠 㐅 凵 禸 隹
㒨㒨	亻 {臼裂} 丿 龱 大 巳
㒩㒩	亻 彑 {豕无横} 虫 虫
㒪㒪	人 臣 臣 止 豕
㒫㒫	{㒫字头} 儿
㒬㒬	二 儿 王
㒭㒭	口 儿 口 儿
㒮㒮	二 儿 豕
㒯㒯	光 龷 艹 {举字底}
㒰㒰	入 工
㒱㒱	入 夕
㒲㒲	入 日
㒳㒳	冂 丨 入 入
㒴㒴	入 屮 凵
㒵㒵	白 八
㒶㒶	八 白
㒷㒷	冂 人 {其字底}
㒸㒸	丷 豕
㒹㒹	十 目 {其字底} 十 目 {其字底}
㒺㒺	冂 䒑 亾
㒻㒻	⺜ 見
㒼㒼	廿 冂 丨 入 入
㒽㒽	⺜ 丷 夫 ⺋
㒾㒾	⺜ 方 𠂉 也
㒿㒿	⺜ 亠 㐅 凵 禸 隹
㓀㓀	冖 卜
㓁㓁	冖 八
㓂㓂	冖 二 儿 女
㓃㓃	冖 言 丿 七
㓄㓄	厶 厶 厶 人 彡 冖 儿
㓅㓅	冫 丁
㓆㓆	冫 仑
㓇㓇	冫 丿 大
㓈㓈	冫 石
㓉㓉	冫 舌
㓊㓊	冫 冂 一 口
㓋㓋	冫 龷 八
㓌㓌	冫 人 王
㓍㓍	冫 {弃字头} 儿
㓎㓎	冫 彐 冖 又
㓏㓏	冫 冂 八 口
㓐㓐	冫 土 八 土
㓑㓑	冫 土 {南心}
㓒㓒	冫 七 人 ⺗
㓓㓓	冫 十 冂 {南心}
㓔㓔	冫 身 寸
㓕㓕	冫 戊 一 火
㓖㓖	冫 田 艹 {举字底}
㓗㓗	冫 丰 刀 糸
㓘㓘	几 歹 王 丶
㓙㓙	文 凵
㓚㓚	工 刂
㓛㓛	工 刀
㓜㓜	幺 刀
㓝㓝	井 刂
㓞㓞	丰 刀
㓟㓟	皮 刂
㓠㓠	⺊ 口 刂
㓡㓡	缶 刂
㓢㓢	各 刂
㓣㓣	亼 口 刂
㓤㓤	士 口 刂
㓥㓥	⺌ 彐 刂
㓦㓦	一 白 刂
㓧㓧	亽 ヿ 口 刂
㓨㓨	大 人 人 刂
㓩㓩	⺈ 用 刂
㓪㓪	丶 {即左} 刀
㓫㓫	大 一 廾 刂
㓬㓬	丷 夫 刀 刂
㓭㓭	曰 勹 亾 刂
㓮㓮	⺆ 土 口 刂
㓯㓯	巛 田 刂
㓰㓰	一 田 凵 刂
㓱㓱	亼 ⺝ 刂 刂
㓲㓲	户 𠕁 刂
㓳㓳	日 疋 刂
㓴㓴	而 大 刂
㓵㓵	{双口：吕吅} 二 ㄅ 刂
㓶㓶	丰 刀 大 刂
㓷㓷	自 木 刂
㓸㓸	{㓸左} 刂
㓹㓹	厂 火 火 刂
㓺㓺	虍 文 刂
㓻㓻	罒 一 止 刂
㓼㓼	木 人 氺 刂
