⺀⺀	丶 丶
出出	屮 凵
击击	{举字底} 凵
凼凼	水 凵
函函	乛 氺 凵
凾凾	了 口 又 凵
凿凿	业 {南心} 凵
刀刀	刀
刁刁	𠃌 ㇀
刂刂	刀
刃刃	刀 丶
刄刄	刀 丶
刅刅	刀 八
分分	八 刀
切切	七 刀
刈刈	乂 刂
刉刉	𠂉 乙 刂
刊刊	干 刂
刋刋	{𠦅左} 刂
刌刌	寸 刂
刍刍	⺈ 彐
刎刎	勹 𰀪 刂
刏刏	气 刂
刐刐	⺆ 亠 刂
刑刑	一 廾 刂
划划	戈 刂
刓刓	二 儿 刂
刔刔	{候右角} 人 刂
刕刕	刀 刀 刀
刖刖	月 刂
列列	歹 刂
刘刘	文 刂
则则	贝 刂
刚刚	冂 㐅 刂
创创	人 ⺋ 刂
刜刜	弗 刂
初初	衤 刀
刞刞	且 刂
刟刟	刀 口 刂
删删	册 刂
刡刡	民 刂
刢刢	亽 龴 刂
刣刣	厶 口 刂
判判	丷 {举字底} 刂
別別	口 刀 刂
刦刦	土 厶 刂
刧刧	土 厶 刀
刨刨	勹 巳 刂
利利	禾 刂
刪刪	冊 刂
别别	口 力 刂
刬刬	一 戈 刂
刭刭	ス 工 刂
刮刮	舌 刂
刯刯	一 日 一 刂
到到	至 刂
刱刱	井 刀 八
刲刲	土 土 刂
刳刳	大 二 ㄅ 刂
刴刴	乃 木 刂
刵刵	耳 刂
制制	牛 巾 刂
刷刷	尸 巾 刂
券券	丷 夫 刀
刹刹	㐅 木 刂
刺刺	木 冂 刂
刻刻	亥 刂
刼刼	土 厶 刀 丶
刽刽	人 云 刂
刾刾	夫 丷 刂
刿刿	山 夕 刂
剀剀	山 己 刂
剁剁	几 木 刂
剂剂	齐 刂
剃剃	丷 𢎨 刂
剄剄	一 巛 工 刂
剅剅	豆 刂
剆剆	丶 {即左} 刂
則則	貝 刂
剈剈	口 ⺝ 刂
剉剉	人 人 土 刂
削削	⺌ ⺝ 刂
剋剋	古 儿 刂
剌剌	束 刂
前前	䒑 ⺝ 刂
剎剎	㐅 木 丶 刂
剏剏	䒑 廾 刀 丶
剐剐	口 冂 人 刂
剑剑	亼 ⺍ 一 刂
剒剒	龷 日 刂
剓剓	禾 {黎右角} 刀
剔剔	日 勹 𰀪 刂
剕剕	非 刂
剖剖	立 口 刂
剗剗	戈 戈 刂
剘剘	{其字头} {其字底} 刂
剙剙	䒑 廾 刀 八
剚剚	一 口 {事字底} 刂
剛剛	冂 䒑 山 刂
剜剜	宀 夕 ⺋ 刂
剝剝	彑 氺 刂
剞剞	大 可 刂
剟剟	又 又 又 又 刂
剠剠	{高头} 小 刂
剡剡	火 火 刂
剢剢	豕 丶 刂
剣剣	亼 口 人 刂
剤剤	斉 刂
剥剥	{录上} 氺 刂
剦剦	大 日 乚 刂
剧剧	尸 古 刂
剨剨	丰 石 刂
剩剩	禾 {北左} 匕 刂
剪剪	䒑 ⺝ 刂 刀
剫剫	广 廿 又 刂
剬剬	山 而 刂
剭剭	尸 至 刂
剮剮	冎 口 刂
副副	一 口 田 刂
剰剰	禾 龷 刂
剱剱	亼 口 人 刀 丶
割割	宀 丰 口 刂
剳剳	艹 亼 口 刂
剴剴	山 豆 刂
創創	人 {倉中} 口 刂
剶剶	彑 {豕无横} 刂
剷剷	{立无横} 厂 生 刂
剸剸	一 日 {虫无口} 寸 刂
剹剹	羽 人 彡 刂
剺剺	未 攵 厂 刀
剻剻	山 月 月 刂
剼剼	厶 厶 厶 人 彡 刂
剽剽	覀 示 刂
剾剾	匚 口 {双口：吕吅} 刂
剿剿	巛 田 木 刂
劀劀	予 丿 冂 八 口 刂
劁劁	隹 灬 刂
劂劂	厂 䒑 {㪿三} 欠 刂
劃劃	{𥁞字头} 田 一 刂
劄劄	⺮ 亼 口 刂
劅劅	罒 勹 虫 刂
劆劆	广 䒑 {尹三} {变字头无亠} 刂
劇劇	虍 豕 刂
劈劈	辟 刀
劉劉	卯 金 刂
劊劊	亼 囗 ⺌ 曰 刂
劋劋	口 {双口：吕吅} 木 刂
劌劌	止 戊 一 {步下} 刂
劍劍	僉 刂
劎劎	僉 刀
劏劏	{党无儿} 田 刂
劐劐	艹 隹 又 刂
劑劑	齊 刂
劒劒	僉 刀 丶
劓劓	自 田 丌 刂
劔劔	僉 刀 丶
劕劕	斤 斤 貝 刂
劖劖	{免无儿} 匕 匕 兔 刂
劗劗	𠂒 儿 𠂒 儿 貝 刂
劘劘	麻 非 刂
劙劙	彑 {豕无横} 虫 虫 刂
劚劚	尸 氺 罒 勹 虫 刂
力力	力
劜劜	力 乚
劝劝	又 力
办办	力 八
功功	工 力
加加	力 口
务务	夂 力
劢劢	一 {別字旁底} 力
劣劣	小 丿 力
劤劤	斤 力
劥劥	亠 几 力
劦劦	力 力 力
劧劧	手 力
动动	云 力
助助	且 力
努努	女 又 力
劫劫	土 厶 力
劬劬	句 力
劭劭	刀 口 力
劮劮	丿 夫 力
劯劯	石 力
劰劰	白 力
励励	厂 一 {別字旁底} 力
劲劲	ス 工 力
劳劳	艹 冖 力
労労	⺍ 冖 力
劵劵	丷 夫 力
劶劶	⺁ 一 口 力
劷劷	⺶ 力
劸劸	土 土 力
効効	六 乂 力
劺劺	厶 牛 力
劻劻	匚 王 力
劼劼	士 口 力
劽劽	歹 刂 力
劾劾	亥 力
势势	扌 丸 力
勀勀	古 儿 力
勁勁	一 巛 工 力
勂勂	𠂒 口 力
勃勃	十 冖 子 力
勄勄	𠂉 母 力
勅勅	束 力
勆勆	丶 {即左} 力
勇勇	龴 用 力
勈勈	龴 用 力
勉勉	{免无儿} 儿 力
勊勊	古 儿 力
勋勋	口 贝 力
勌勌	丷 夫 ⺋ 力
勍勍	{高头} 小 力
勎勎	土 八 土 力
勏勏	立 口 力
勐勐	子 皿 力
勑勑	木 人 人 力
勒勒	革 力
勓勓	{比左} 匕 白 力
勔勔	面 力
動動	千 里 力
勖勖	⺜ 目 力
勗勗	日 且 力
勘勘	{其字头} {其字底} ㇗ 力
務務	予 丿 夂 力
勚勚	廿 ㇗ 贝 力
勛勛	口 貝 力
勜勜	八 厶 羽 力
勝勝	月 丷 夫 力
勞勞	火 火 冖 力
募募	艹 日 大 力
勠勠	羽 人 彡 力
勡勡	覀 示 力
勢勢	土 八 土 丸 力
勣勣	龶 貝 力
勤勤	廿 口 龶 力
勥勥	弓 口 虫 力
勦勦	巛 田 木 力
勧勧	𠂉 一 隹 力
勨勨	象 力
勩勩	廿 ㇗ 貝 力
勪勪	丿 大 口 冂 口 力
勫勫	丿 米 田 力
勬勬	丷 夫 糸 力
勭勭	立 里 力
勮勮	虍 豕 力
勯勯	亠 囗 口 日 一 力
勰勰	力 力 力 田 心
勱勱	艹 田 ⽱ 力
勲勲	千 里 力 灬
勳勳	千 黑 力
勴勴	虍 田 心 力
勵勵	厂 艹 田 ⽱ 力
勶勶	彳 {弃字头} ⺝ 攵 力
勷勷	衣 {双口：吕吅} 井 一 力
勸勸	艹 {双口：吕吅} 隹 力
勹勹	勹
勺勺	勹 丶
勻勻	勹 二
勼勼	勹 九
勽勽	勹 人
勾勾	勹 厶
勿勿	勹 𰀪
匀匀	勹 冫
匁匁	勹 乂
匂匂	勹 匕
匃匃	勹 亾
匄匄	勹 亡
包包	勹 巳
匆匆	勹 𰀪 丶
匇匇	勹 夕
匈匈	勹 㐅 凵
匉匉	勹 干 丷
匊匊	勹 米
匋匋	勹 缶
匌匌	勹 亼 口
匍匍	勹 甫
匎匎	勹 大 日 乚
匏匏	大 二 ㄅ 勹 巳
匐匐	勹 一 口 田
匑匑	勹 身 弓
匒匒	勹 艹 亼 口
匓匓	勹 {即左} 殳
匔匔	勹 身 {双口：吕吅}
匕匕	匕
化化	亻 {华右角}
北北	　 匕
匘匘	匕 巛 丿 龱
匙匙	日 疋 匕
匚匚	匚
匛匛	匚 ⺈ 丶
匜匜	匚 也
匝匝	匚 巾
匞匞	匚 工
匟匟	匚 亠 几
匠匠	匚 斤
匡匡	匚 王
匢匢	匚 勹 𰀪
匣匣	匚 甲
匤匤	匚 王 丶
匥匥	匚 厶 廾
匦匦	匚 {车旁} 九
匧匧	匚 大 人 人
匨匨	匚 爿 士
匩匩	匚 屮 一 土
匪匪	匚 非
匫匫	匚 勹 𰀪 曰
匬匬	匚 亼 ⺝ 刂
匭匭	匚 車 九
匮匮	匚 虫 贝
匯匯	匚 氵 隹
匰匰	匚 {双口：吕吅} 田 十
匱匱	匚 虫 貝
匲匲	匚 大 口 {双口：吕吅}
匳匳	匚 僉
匴匴	匚 ⺮ 目 廾
匵匵	匚 士 罒 貝
匶匶	匚 艹 隹 臼
匷匷	匚 目 目 隹
匸匸	匚
匹匹	匚 儿
区区	匚 㐅
医医	匚 矢
匼匼	匚 亼 口
匽匽	匚 日 女
匾匾	匚 户 𠕁
匿匿	匚 艹 𠂇 口
區區	匚 口 {双口：吕吅}
十十	十
卂卂	⺄ 十
千千	千
卄卄	艹
卅卅	卅
卆卆	九 十
升升	丿 廾
午午	𠂉 十
卉卉	十 廾
半半	丷 {举字底}
卋卋	十 廿
卌卌	卌
卍卍	㇅ 丨 一 丨
华华	亻 {华右角} 十
协协	十 力 八
卐卐	㇞ 一 丨 一
卑卑	白 丿 十
卒卒	亠 人 人 十
卓卓	⺊ 日 十
協協	十 力 力 力
单单	丷 田 十
卖卖	十 乛 丶 丶 大
南南	十 冂 {南心}
単単	ツ 田 十
卙卙	{其字头} {其字底} ㇗ 十
博博	十 甫 寸
卛卛	言 糹 糹 十
卜卜	卜
卝卝	卝
卞卞	亠 卜
卟卟	口 卜
占占	⺊ 口
卡卡	⺊ 一 卜
卢卢	⺊ 尸
卣卣	⺊ 囗 コ
卤卤	⺊ 龱
卥卥	⺊ {卥字底}
卦卦	土 土 卜
卧卧	臣 卜
卨卨	⺊ 冎 口
卩卩	卩
卪卪	卩 丶
卫卫	卩 一
卬卬	{卬左} 卩
卭卭	工 卩
卮卮	⺁ 一 ⺋
卯卯	卯
印印	{卬左} 一 卩
危危	⺈ 厂 ⺋
卲卲	刀 口 卩
即即	{即左} 卩
却却	土 厶 卩
卵卵	卵
卶卶	夕 夕 卩
卷卷	丷 夫 ⺋
卸卸	𦈢 卩
卹卹	丿 皿 卩
卺卺	乛 水 一 ⺋
卻卻	谷 卩
卼卼	一 儿 ⺈ 厂 ⺋
卽卽	白 匕 卩
卾卾	{双口：吕吅} 二 ㄅ 卩
卿卿	卯 {即左}
厀厀	木 人 氺 卩
厁厁	人 禾 斗 卩
厂厂	厂
厃厃	⺈ 厂
厄厄	厂 ⺋
厅厅	厂 丁
历历	厂 力
厇厇	厂 丿 七
厈厈	厂 干
厉厉	厂 一 {別字旁底}
厊厊	厂 牙
压压	厂 土 丶
厌厌	厂 犬
厍厍	厂 车
厎厎	厂 氏 丶
厏厏	厂 乍
厐厐	厂 龙
厑厑	厂 口 匕
厒厒	厂 缶
厓厓	厂 土 土
厔厔	厂 至
厕厕	厂 贝 刂
厖厖	厂 龙 𰀪
厗厗	厂 辛
厘厘	厂 里
厙厙	厂 車
厚厚	厂 日 子
厛厛	厂 口 斤
厜厜	厂 千 艹 士
厝厝	厂 龷 日
厞厞	厂 非
原原	厂 白 小
厠厠	厂 貝 刂
厡厡	厂 白 水
厢厢	厂 木 目
厣厣	厂 犬 甲
厤厤	厂 禾 禾
厥厥	厂 䒑 {㪿三} 欠
厦厦	厂 一 自 夂
厧厧	厂 十 目 {其字底}
厨厨	厂 豆 寸
厩厩	厂 {即左} 旡
厪厪	厂 廿 口 龶
厫厫	厂 敖
厬厬	厂 日 夂 卜 口
厭厭	厂 日 月 犬
厮厮	厂 {其字头} {其字底} 斤
厯厯	厂 木 木 乚 丶 丶
厰厰	厂 尚 攵
厱厱	厂 僉
厲厲	厂 艹 田 ⽱
厳厳	ツ 厂 ヿ 耳 攵
厴厴	厂 日 月 犬 甲
厵厵	厂 白 小 厂 白 小 厂 白 小
厶厶	厶
厷厷	𠂇 厶
厸厸	厶 厶
厹厹	九 厶
厺厺	大 厶
去去	土 厶
厼厼	厶 小
厽厽	厶 厶 厶
厾厾	⺄ 土 厶
县县	且 厶
叀叀	一 由 厶
叁叁	厶 大 三
参参	厶 大 彡
參參	厶 厶 厶 人 彡
叄叄	厶 厶 厶 人 三
叅叅	厶 厶 厶 人 ⺗
叆叆	云 爫 冖 𠂇 又
叇叇	云 {尹三} 氺 辶
又又	又
叉叉	又 丶
及及	及
友友	𠂇 又
双双	又 又
反反	⺁ 又
収収	丩 又
叏叏	{叏上} 又
叐叐	丿 𠂇 又
发发	{发二} 又 丶
叒叒	又 又 又
叓叓	一 口 丨 又
叔叔	⺊ 一 小 又
叕叕	又 又 又 又
取取	耳 又
受受	爫 冖 又
变变	亠 {变字头无亠} 又
叙叙	人 禾 又
叚叚	尸 二 コ 又
叛叛	丷 {举字底} ⺁ 又
叜叜	宀 火 又
叝叝	土 厶 卩 又
叞叞	尸 示 又
叟叟	臼 丨 又
叠叠	又 又 又 冖 且
叡叡	{睿字头} {谷字头} 目 又
叢叢	业 ⺷ 耳 又
口口	口
古古	古
句句	句
另另	口 力
叧叧	口 刀
叨叨	口 刀
叩叩	口 卩
只只	口 八
叫叫	口 丩
召召	刀 口
叭叭	口 八
叮叮	口 丁
可可	可
台台	厶 口
叱叱	口 {华右角}
史史	口 {丈无一}
右右	𠂇 口
叴叴	九 口
叵叵	匚 口
叶叶	口 十
号号	口 一 ㄅ
司司	𠃌 一 口
叹叹	口 又
叺叺	口 入
叻叻	口 力
叼叼	口 𠃌 ㇀
叽叽	口 几
叾叾	了 口
叿叿	口 工
吀吀	口 千
吁吁	口 一 𬺰
吂吂	亡 口
吃吃	口 𠂉 乙
各各	各
吅吅	{双口：吕吅}
吆吆	口 幺
吇吇	口 子
合合	亼 口
吉吉	士 口
吊吊	口 巾
吋吋	口 寸
同同	冂 一 口
名名	夕 口
后后	⺁ 一 口
吏吏	一 口 {丈无一}
吐吐	口 土
向向	丿 冂 口
吒吒	口 丿 七
吓吓	口 一 卜
吔吔	口 也
吕吕	{双口：吕吅}
吖吖	口 丷 丨
吗吗	口 马
吘吘	口 𠂉 十
吙吙	口 火
吚吚	口 {尹三} 丿
君君	{尹三} 丿 口
吜吜	口 ヿ 土
吝吝	文 口
吞吞	一 大 口
吟吟	口 亽 ヿ
吠吠	口 犬
吡吡	口 {比左} 匕
吢吢	心 口
吣吣	口 心
吤吤	口 人 {乔字底}
吥吥	口 不
否否	不 口
吧吧	口 巴
吨吨	口 一 {屯无横}
吩吩	口 八 刀
吪吪	口 亻 {华右角}
含含	亽 ヿ 口
听听	口 斤
吭吭	口 亠 几
吮吮	口 厶 儿
启启	户 口
吰吰	口 𠂇 厶
吱吱	口 支
吲吲	口 弓 丨
吳吳	口 ㇞ 大
吴吴	口 一 大
吵吵	口 小 丿
吶吶	口 冂 入
吷吷	口 {候右角} 人
吸吸	口 及
吹吹	口 欠
吺吺	口 殳
吻吻	口 勹 𰀪
吼吼	口 子 乚
吽吽	口 牛
吾吾	五 口
吿吿	牛 口
呀呀	口 牙
呁呁	口 勹 冫
呂呂	口 丿 口
呃呃	口 厂 ⺋
呄呄	乃 古
呅呅	口 文
呆呆	口 木
呇呇	水 口
呈呈	口 王
呉呉	口 ㄅ {其字底}
告告	𠂒 口
呋呋	口 夫
呌呌	口 斗
呍呍	口 云
呎呎	口 尸 丶
呏呏	口 丿 廾
呐呐	口 冂 人
呑呑	丿 大 口
呒呒	口 无
呓呓	口 艹 乙
呔呔	口 大 丶
呕呕	口 匚 㐅
呖呖	口 厂 力
呗呗	口 贝
员员	口 贝
呙呙	口 冂 人
呚呚	口 攵
呛呛	口 人 ⺋
呜呜	口 乌
呝呝	口 户 乙
呞呞	口 𠃌 一 口
呟呟	口 亠 幺
呠呠	口 木 一
呡呡	口 民
呢呢	口 尸 匕
呣呣	口 母
呤呤	口 亽 龴
呥呥	口 冂 土
呦呦	口 幺 力
呧呧	口 氏 丶
周周	⺆ 土 口
呩呩	口 示
呪呪	口 口 儿
呫呫	口 ⺊ 口
呬呬	口 四
呭呭	口 廿 ㇗
呮呮	口 口 八
呯呯	口 干 丷
呰呰	止 匕 口
呱呱	口 瓜
呲呲	口 止 匕
味味	口 未
呴呴	口 句
呵呵	口 可
呶呶	口 女 又
呷呷	口 甲
呸呸	口 不 一
呹呹	口 丿 夫
呺呺	口 口 一 ㄅ
呻呻	口 日 丨
呼呼	口 丿 丷 𬺰
命命	亼 口 卩
呾呾	口 日 一
呿呿	口 土 厶
咀咀	口 且
咁咁	口 甘
咂咂	口 匚 巾
咃咃	口 亻 也
咄咄	口 屮 凵
咅咅	立 口
咆咆	口 勹 巳
咇咇	口 心 丿
咈咈	口 弗
咉咉	口 冂 大
咊咊	口 禾
咋咋	口 乍
和和	禾 口
咍咍	口 厶 口
咎咎	夂 卜 口
咏咏	口 丶 水
咐咐	口 亻 寸
咑咑	口 扌 丁
咒咒	{双口：吕吅} 几
咓咓	口 瓦
咔咔	口 ⺊ 一 卜
咕咕	口 古
咖咖	口 力 口
咗咗	口 𠂇 工
咘咘	口 𠂇 巾
咙咙	口 龙
咚咚	口 夂 ゛
咛咛	口 宀 丁
咜咜	口 宀 匕
咝咝	口 纟 纟
咞咞	口 一 廾
咟咟	口 一 白
咠咠	口 耳
咡咡	口 耳
咢咢	{双口：吕吅} 二 ㄅ
咣咣	口 光
咤咤	口 宀 丿 七
咥咥	口 至
咦咦	口 大 弓
咧咧	口 歹 刂
咨咨	冫 欠 口
咩咩	口 羊
咪咪	口 米
咫咫	尸 丶 口 八
咬咬	口 六 乂
咭咭	口 士 口
咮咮	口 丿 未
咯咯	口 各
咰咰	口 勹 日
咱咱	口 自
咲咲	口 䒑 大
咳咳	口 亥
咴咴	口 𠂇 火
咵咵	口 大 二 ㄅ
咶咶	口 舌
咷咷	口 儿 冫 {飞无折}
咸咸	戊 一 口
咹咹	口 宀 女
咺咺	口 一 日 一
咻咻	口 亻 木
咼咼	冎 口
咽咽	口 囗 大
咾咾	口 老
咿咿	口 亻 {尹三} 丿
哀哀	衣 口
品品	口 {双口：吕吅}
哂哂	口 西
哃哃	口 冂 一 口
哄哄	口 龷 八
哅哅	口 勹 㐅 凵
哆哆	口 夕 夕
哇哇	口 土 土
哈哈	口 亼 口
哉哉	十 戈 口
哊哊	口 𠂇 ⺝
哋哋	口 土 也
哌哌	口 ⺁ {旅右下}
响响	口 丿 冂 口
哎哎	口 艹 乂
哏哏	口 艮
哐哐	口 匚 王
哑哑	口 一 业
哒哒	口 大 辶
哓哓	口 {晓右上} 一 儿
哔哔	口 {比左} 匕 十
哕哕	口 山 夕
哖哖	口 𠂉 㐄
哗哗	口 亻 {华右角} 十
哘哘	口 行
哙哙	口 人 云
哚哚	口 几 木
哛哛	口 匕 八 刀
哜哜	口 齐
哝哝	口 冖 𧘇
哞哞	口 厶 牛
哟哟	口 纟 勹 丶
哠哠	口 𠂒 口
員員	口 貝
哢哢	口 王 廾
哣哣	口 豆
哤哤	口 龙 𰀪
哥哥	可 可
哦哦	口 丿 扌 戈
哧哧	口 土 {亦字底}
哨哨	口 ⺌ ⺝
哩哩	口 里
哪哪	口 𠃌 {夫三} 阝
哫哫	口 足
哬哬	口 亻 可
哭哭	{双口：吕吅} 犬
哮哮	口 耂 子
哯哯	口 見
哰哰	口 宀 牛
哱哱	口 十 冖 子
哲哲	扌 斤 口
哳哳	口 扌 斤
哴哴	口 丶 艮
哵哵	口 口 力 刂
哶哶	口 ⺸
哷哷	口 爫 寸
哸哸	口 爫 女
哹哹	口 爫 子
哺哺	口 甫
哻哻	口 日 干
哼哼	口 {高头} 了
哽哽	口 一 日 {丈无一}
哾哾	口 丷 口 儿
哿哿	力 口 可
唀唀	口 禾 乃
唁唁	口 言
唂唂	口 谷
唃唃	口 ⺈ 用
唄唄	口 貝
唅唅	口 亽 ヿ 口
唆唆	口 厶 八 夂
唇唇	辰 口
唈唈	口 口 巴
唉唉	口 厶 矢
唊唊	口 大 人 人
唋唋	口 人 禾
唌唌	口 丿 止 廴
唍唍	口 宀 二 儿
唎唎	口 禾 刂
唏唏	口 㐅 𠂇 巾
唐唐	广 肀 口
唑唑	口 人 人 土
唒唒	口 酉
唓唓	口 車
唔唔	口 五 口
唕唕	口 白 十
唖唖	口 一 {亜无横}
唗唗	口 走
唘唘	石 又 口
唙唙	口 犭 火
唚唚	口 彐 冖 又
唛唛	口 龶 夂
唜唜	一 木 口 匕
唝唝	口 工 贝
唞唞	口 扌 斗
唟唟	土 厶 口 匕
唠唠	口 艹 冖 力
唡唡	口 两
唢唢	口 ⺌ 贝
唣唣	口 白 七
唤唤	口 ⺈ 冂 大
唥唥	口 冫 亽 龴
唦唦	口 氵 小 丿
唧唧	口 {即左} 卩
唨唨	口 阝 且
唩唩	口 禾 女
唪唪	口 {寿四} ㇏ {举字底}
唫唫	口 金
唬唬	口 虎
唭唭	口 {其字头} {其字底}
售售	隹 口
唯唯	口 隹
唰唰	口 尸 巾 刂
唱唱	口 日 曰
唲唲	口 臼 儿
唳唳	口 户 犬
唴唴	口 ⺶ 乚
唵唵	口 大 日 乚
唶唶	口 龷 日
唷唷	口 {弃字头} ⺝
唸唸	口 亽 ヿ 心
唹唹	口 方 人 ゛
唺唺	口 𠕁 {其字底}
唻唻	口 木 人 人
唼唼	口 立 女
唽唽	口 木 斤
唾唾	口 千 艹 士
唿唿	口 勹 𰀪 心
啀啀	口 厂 土 土
啁啁	口 ⺆ 土 口
啂啂	口 爫 子 乚
啃啃	口 止 ⺝
啄啄	口 豕 丶
啅啅	口 ⺊ 日 十
商商	{立无横} 冂 八 口
啇啇	{立无横} 冂 古
啈啈	口 土 {南心}
啉啉	口 木 木
啊啊	口 阝 可
啋啋	口 爫 木
啌啌	口 穴 工
啍啍	口 {高头} 子
啎啎	𠂉 十 五 口
問問	門 口
啐啐	口 亠 人 人 十
啑啑	口 一 {尹三} 龰
啒啒	口 尸 屮 凵
啓啓	户 攵 口
啔啔	户 戈 口
啕啕	口 勹 缶
啖啖	口 火 火
啗啗	口 ⺈ 臼
啘啘	口 宀 夕 ⺋
啙啙	止 匕 {双口：吕吅}
啚啚	口 十 囗 口
啛啛	口 一 肀 女
啜啜	口 又 又 又 又
啝啝	口 禾 口
啞啞	口 一 {亞无横}
啟啟	户 口 攵
啠啠	斤 斤 口
啡啡	口 非
啢啢	口 一 冂 丨 入 入
啣啣	口 𦈢 卩
啤啤	口 白 丿 十
啥啥	口 人 {舍下}
啦啦	口 扌 立
啧啧	口 龶 贝
啨啨	口 龶 ⺝
啩啩	口 土 土 卜
啪啪	口 扌 白
啫啫	口 耂 日
啬啬	土 丷 囗 口
啭啭	口 {车旁} 二 乛 丶
啮啮	口 齿
啯啯	口 囗 王 丶
啰啰	口 罒 夕
啱啱	口 山 石
啲啲	口 白 勹 丶
啳啳	口 丷 夫 ⺋
啴啴	口 丷 田 十
啵啵	口 氵 皮
啶啶	口 宀 疋
啷啷	口 丶 {即左} 阝
啸啸	口 肀 {乔字底} 八
啹啹	口 尸 古
啺啺	口 日 一 勹 𰀪
啻啻	{立无横} 冖 巾 口
啼啼	口 {立无横} 冖 巾
啽啽	口 亼 口 廾
啾啾	口 禾 火
啿啿	口 {其字头} {其字底} ㇗
喀喀	口 宀 各
喁喁	口 田 ⽱
喂喂	口 田 一 {畏下无横}
喃喃	口 十 冂 {南心}
善善	羊 䒑 口
喅喅	口 日 立
喆喆	士 口 士 口
喇喇	口 束 刂
喈喈	口 {比左} 匕 白
喉喉	口 亻 {候右角} 矢
喊喊	口 戊 一 口
喋喋	口 廿 ㇗ 木
喌喌	{双口：吕吅} {州三点} 川
喍喍	口 止 匕 木
喎喎	口 冎 口
喏喏	口 艹 𠂇 口
喐喐	口 𠂇 ⺝ 阝
喑喑	口 音
喒喒	口 夂 卜 日
喓喓	口 覀 女
喔喔	口 尸 至
喕喕	口 面
喖喖	口 木 古
喗喗	口 冖 車
喘喘	口 山 而
喙喙	口 彑 {豕无横}
喚喚	口 ⺈ 冂 八 大
喛喛	口 爫 一 𠂇 又
喜喜	壴 口
喝喝	口 曰 勹 亾
喞喞	口 白 匕 卩
喟喟	口 田 ⺝
喠喠	口 千 里
喡喡	口 韋
喢喢	口 千 臼
喣喣	口 句 灬
喤喤	口 白 王
喥喥	口 广 廿 又
喦喦	口 {双口：吕吅} 山
喧喧	口 宀 一 日 一
喨喨	口 {亮头} 几
喩喩	口 亼 ⺝ 巜
喪喪	土 {双口：吕吅} {畏下无横}
喫喫	口 丰 刀 大
喬喬	丿 大 口 冂 口
喭喭	口 {立无横} 厂 彡
單單	{双口：吕吅} 田 十
喯喯	口 大 十 廾
喰喰	口 食
喱喱	口 厂 里
喲喲	口 糹 勹 丶
喳喳	口 木 日 一
喴喴	口 戊 一 女
喵喵	口 艹 田
営営	⺍ 冖 {双口：吕吅}
喷喷	口 十 艹 贝
喸喸	甫 口 匕
喹喹	口 大 土 土
喺喺	口 亻 丿 糸
喻喻	口 亼 ⺝ 刂
喼喼	口 ⺈ 彐 心
喽喽	口 米 女
喾喾	⺍ 冖 𠂒 口
喿喿	口 {双口：吕吅} 木
嗀嗀	士 冖 一 口 殳
嗁嗁	口 ⺁ 虎
嗂嗂	口 爫 缶
嗃嗃	口 高
嗄嗄	口 一 自 夂
嗅嗅	口 自 犬
嗆嗆	口 人 {倉中} 口
嗇嗇	土 人 人 囗 口
嗈嗈	口 巛 口 巴
嗉嗉	口 龶 糸
嗊嗊	口 工 貝
嗋嗋	口 力 力 力 ⺝
嗌嗌	口 {益字头} 皿
嗍嗍	口 䒑 {㪿三} 月
嗎嗎	口 馬
嗏嗏	口 艹 人 木
嗐嗐	口 宀 丰 口
嗑嗑	口 土 厶 皿
嗒嗒	口 艹 亼 口
嗓嗓	口 又 又 又 木
嗔嗔	口 十 目 {其字底}
嗕嗕	口 辰 寸
嗖嗖	口 臼 丨 又
嗗嗗	口 骨
嗘嗘	口 爫 幺 大
嗙嗙	口 {立无横} 冖 方
嗚嗚	口 烏
嗛嗛	口 䒑 {尹三} {变字头无亠}
嗜嗜	口 老 日
嗝嗝	口 鬲
嗞嗞	口 䒑 幺 幺
嗟嗟	口 ⺶ 工
嗠嗠	爫 子 各
嗡嗡	口 八 厶 羽
嗢嗢	口 日 皿
嗣嗣	口 𠕁 𠃌 一 口
嗤嗤	口 屮 一 虫
嗥嗥	口 白 大 十
嗦嗦	口 十 冖 糸
嗧嗧	力 口 侖
嗨嗨	口 氵 𠂉 母
嗩嗩	口 ⺌ 貝
嗪嗪	口 {寿四} ㇏ 禾
嗫嗫	口 耳 又 又
嗬嗬	口 艹 亻 可
嗭嗭	十 目 一 口 匕
嗮嗮	口 日 西
嗯嗯	口 囗 大 心
嗰嗰	口 亻 囗 古
嗱嗱	口 亼 口 手
嗲嗲	口 八 乂 夕 夕
嗳嗳	口 爫 冖 𠂇 又
嗴嗴	口 ⺶ 乚 厶
嗵嗵	口 龴 用 辶
嗶嗶	口 田 艹 {举字底}
嗷嗷	口 敖
嗸嗸	敖 口
嗹嗹	口 車 辶
嗺嗺	口 山 隹
嗻嗻	口 广 廿 灬
嗼嗼	口 艹 日 大
嗽嗽	口 束 欠
嗾嗾	口 方 𠂉 矢
嗿嗿	口 亽 ヿ 貝
嘀嘀	口 {立无横} 冂 古
嘁嘁	口 戊 ⺊ 一 小
嘂嘂	{双口：吕吅} 丩 {双口：吕吅}
嘃嘃	口 广 肀 用
嘄嘄	口 {鳥省} 木
嘅嘅	口 {即左} 旡
嘆嘆	口 廿 口 夫
嘇嘇	口 厶 厶 厶 人 彡
嘈嘈	口 一 曲 曰
嘉嘉	壴 力 口
嘊嘊	口 山 厂 土 土
